landmark_name,image_url,cluster1,cluster2,cluster3
Parque Metropolitano Simon Bolivar,landmark/Parque Metropolitano Simon Bolivar/2.jpg,0,3,0
Parque Metropolitano Simon Bolivar,landmark/Parque Metropolitano Simon Bolivar/3.jpg,2,2,1
Parque Santa Ana,landmark/Parque Santa Ana/2.jpg,0,2,3
Parque Santa Ana,landmark/Parque Santa Ana/3.jpg,1,3,0
Pejaten Village,landmark/Pejaten Village/1.jpg,0,3,2
Pejaten Village,landmark/Pejaten Village/2.jpg,2,2,3
Phap Lam Pagoda,landmark/Phap Lam Pagoda/1.jpg,0,1,0
Pintxoteria Los Cojones,landmark/Pintxoteria Los Cojones/2.jpg,1,2,1
Pista Atletica Los Chasquis,landmark/Pista Atletica Los Chasquis/1.jpg,0,1,2
Pista Atletica Los Chasquis,landmark/Pista Atletica Los Chasquis/2.jpg,0,2,1
Pista Atletica Los Chasquis,landmark/Pista Atletica Los Chasquis/3.jpg,0,2,1
Place Bockstael,landmark/Place Bockstael/1.jpg,2,2,0
Place Bockstael,landmark/Place Bockstael/2.jpg,0,1,3
Place Bockstael,landmark/Place Bockstael/3.jpg,2,0,1
Place De L'etoile,landmark/Place De L'etoile/1.jpg,0,2,0
Place De L'etoile,landmark/Place De L'etoile/2.jpg,2,1,2
Place De L'etoile,landmark/Place De L'etoile/3.jpg,2,1,2
Place de la Cathedrale,landmark/Place de la Cathedrale/1.jpg,1,0,3
Place de la Cathedrale,landmark/Place de la Cathedrale/2.jpg,2,2,2
Place de la Cathedrale,landmark/Place de la Cathedrale/3.jpg,0,3,0
Place Du Parc,landmark/Place Du Parc/1.jpg,1,1,1
Place Du Parc,landmark/Place Du Parc/2.jpg,1,2,1
Place Du Parc,landmark/Place Du Parc/3.jpg,2,1,0
Place du Theatre,landmark/Place du Theatre/1.jpg,0,3,2
Place du Theatre,landmark/Place du Theatre/3.jpg,2,2,1
Place l'Europe,landmark/Place l'Europe/1.jpg,0,2,3
Place l'Europe,landmark/Place l'Europe/2.jpg,0,3,1
Playa El Medano,landmark/Playa El Medano/1.jpg,2,2,0
Playa El Medano,landmark/Playa El Medano/2.jpg,2,3,1
Playa El Medano,landmark/Playa El Medano/3.jpg,2,2,1
Plaza de Armas San Sebastian,landmark/Plaza de Armas San Sebastian/1.jpg,0,3,2
Plaza de Armas San Sebastian,landmark/Plaza de Armas San Sebastian/2.jpg,2,2,1
Plaza de Armas San Sebastian,landmark/Plaza de Armas San Sebastian/3.jpg,2,0,0
Plaza de Santo Domingo,landmark/Plaza de Santo Domingo/1.jpg,2,1,3
Plaza de Santo Domingo,landmark/Plaza de Santo Domingo/2.jpg,2,2,1
Plaza de Santo Domingo,landmark/Plaza de Santo Domingo/3.jpg,2,1,2
Plaza Limacpampa Grande,landmark/Plaza Limacpampa Grande/1.jpg,0,2,0
Plaza Limacpampa Grande,landmark/Plaza Limacpampa Grande/2.jpg,2,2,2
Plaza Limacpampa Grande,landmark/Plaza Limacpampa Grande/3.jpg,2,2,1
Plazoleta Espinar,landmark/Plazoleta Espinar/1.jpg,3,1,0
Plazoleta Espinar,landmark/Plazoleta Espinar/2.jpg,3,1,3
Plazoleta Espinar,landmark/Plazoleta Espinar/3.jpg,1,3,0
Pluit Village XXI,landmark/Pluit Village XXI/1.jpg,2,2,3
Pluit Village XXI,landmark/Pluit Village XXI/3.jpg,0,0,1
Puerto Paraiso,landmark/Puerto Paraiso/1.jpg,1,1,3
Puerto Paraiso,landmark/Puerto Paraiso/2.jpg,2,1,3
